Rank,Title,Username,Rating,Score,Performance,Team
166,,emilo_ibarra_brito,2083,26,1994,
167,,d4rkproject,1627,26,1875,
168,,CHARBONIER,1974,26,1869,
169,,kenny29pardo,1861,26,1834,
170,,KevinMendoza,1826,26,1800,
171,,nuester,2040,26,1781,
172,,Josesilva160,1675,26,1752,
173,,Huellacrea,1643,26,1727,
174,,RODOLFIT0,1558,26,1675,
175,,Matiaslizanoquir0s,1602,26,1645,
176,,Cristhian99,1212,26,1607,
177,,jorgeradi,1591,26,1596,
178,,sr1212MINI,1506,26,1528,
179,,luismarquez,1404,26,1496,
180,,St1v3nt,1459,26,1485,
181,,gfergar,2251,25,2309,
182,,Loviiiii,2041,25,2239,
183,,AuthenticEagle,2047,25,2035,
184,,Romi10,1916,25,1816,
185,,panchitooo,1918,25,1797,
186,,SNHEIDER10,1798,25,1767,
187,,Anl3o,1629,25,1747,
188,,crmaster2013,1500,25,1726,
189,,jesussantfeliu,1667,25,1704,
190,,alonsotaku,1567,25,1648,
191,,conejorana96,1535,25,1588,
192,,Anibalbrc1967,1557,25,1531,
193,,federicoand,1997,25,1529,
194,,PAGV,1586,25,1508,
195,,TsuruTuneado,1354,25,1469,
196,,IcemanPzk17,1520,25,1465,
197,,jesuzulin,1394,25,1412,
198,,Uriii12,1212,25,1394,
199,,FaustiOro,2207,24,1967,
200,,Heinemansito,1921,24,1881,
201,,Irvinggaytan83,1778,24,1779,
202,,danlsk,1601,24,1777,
203,,samuel343,1548,24,1747,
204,,andresfelipedelgado,1791,24,1728,
205,,RubenCL,1630,24,1722,
206,,ChessBlink05,1553,24,1716,
207,,Danieltempo,1804,24,1696,
208,,Edwing16,1619,24,1693,
209,,JasonBatz,1834,24,1691,
210,,Bellochess,1795,24,1644,
211,,Burgoss701,1506,24,1634,
212,,Ignaciopuelma,1537,24,1631,
213,,GuidoNadotti,1584,24,1630,
214,,Esparrago_lunar,1498,24,1627,
215,,MevoyaDama,1893,24,1602,
216,,Tal3112,1983,24,1598,
217,,jhonatanjj,1870,24,1590,
218,,Amaya_Carlo_9999,1784,24,1567,
219,,Pancito72S,1645,24,1557,
220,,Pinkyycerebro2020,1518,24,1550,
221,,sephiroth100,1530,24,1539,
222,,emigamer06,1498,24,1494,
223,,Drake117,1576,24,1463,
224,,Paul_LVP,1458,24,1463,
225,,kasp0r0v,1500,24,1445,
226,,readyPlayerUan,1511,24,1393,
227,,hiramcraft1,1426,24,1388,
228,,xNeeKzZy,1470,24,1360,
229,,nquirogaa,1299,24,1268,
230,,busterburgo,1227,24,1217,
231,,fjvf69,1683,23,1779,
232,,michael_wintermoon,1890,23,1778,
233,,EloyBerty07,1661,23,1688,
234,,EmmanuelRequiem,1806,23,1622,
235,,LuisCXVI,1534,23,1610,
236,,OWNED5,1559,23,1576,
237,,Lucynoe,1656,23,1569,
238,,firechess390,1584,23,1565,
239,,anthonisoyyo,1308,23,1549,
240,,Aulig,1381,23,1549,
241,,crispo1500,1338,23,1489,
242,,bursalia2k,1458,23,1409,
243,,jorgedibe,1982,22,1953,
244,,Rafaelfranklin,1581,22,1826,
245,,MarcoThor08,1792,22,1820,
246,,PabloSanchez10,2025,22,1790,
247,,Bryan_Vences_007,1581,22,1714,
248,,sopapiglobo1,1649,22,1693,
249,,Niser77,1337,22,1684,
250,,josequintulom,1947,22,1611,
251,,Tato_lamela,1588,22,1594,
252,,PedroArg07,1349,22,1533,
253,,ivansendra,1444,22,1518,
254,,supersayayin7,1272,22,1510,
255,,AgusAjedrez,1468,22,1497,
256,,Leonibarra,1385,22,1466,
257,,david279,1455,22,1446,
258,,Alexmmb,1409,22,1408,
259,,KillerSnake1994,1382,22,1360,
260,,Kronox21,1332,22,1341,
261,,jeffre,1136,22,1324,
262,,OzEmFM,1192,22,1259,
263,,elpitagoras,2032,21,2021,
264,,PaBloisAev,1693,21,1779,
265,,Girian,1987,21,1774,
266,,dieglm,1683,21,1766,
267,,ELMAJI,1699,21,1758,
268,,josue_chess123,1985,21,1689,
269,,Junior1228,1629,21,1666,
270,,Gcadrod,1780,21,1569,
271,,AngelMigGG,1317,21,1522,
272,,veintiseis599,1315,21,1495,
273,,Zarifx,1441,21,1489,
274,,TomasLuna58,1255,21,1464,
275,,Pcokerwho,1505,21,1463,
276,,OrtegaSergio,1679,21,1418,
277,,ebg1487,1365,21,1416,
278,,JesusMontesChess,1410,21,1411,
279,,Ananias-ARG,1447,21,1346,
280,,Payus,1176,21,1330,
281,,Jarett29,1963,20,2138,
282,,pablochanches,1766,20,1934,
283,,perisic,1825,20,1927,
284,,Chrischess98,1673,20,1893,
285,,MANOLO427,1505,20,1828,
286,,Draxler66,1781,20,1823,
287,,emildia,1525,20,1718,
288,,Guerrercerda,1713,20,1678,
289,,klyonline,1629,20,1655,
290,,Comandante007,1634,20,1651,
291,,Pedrico,1362,20,1640,
292,,JFercho59,1649,20,1609,
293,,fernais,1608,20,1589,
294,,Jotajota76,1585,20,1550,
295,,Daniel_Sanchez03,1645,20,1549,
296,,Keiner16,1559,20,1513,
297,,copon_copete,1390,20,1498,
298,,Albertoif99,1370,20,1492,
299,,xLeonidas,1362,20,1452,
300,,Diels_aldee,1128,20,1440,
301,,andresguerron,1581,20,1421,
302,,Lex1095,1238,20,1417,
303,,Erick_Reyes,1437,20,1416,
304,,Daniel_16,1372,20,1396,
305,,OscarSusinos,1127,20,1392,
306,,martillo87,1389,20,1374,
307,,hector765,1323,20,1368,
308,,RAUL_PINEDAD,1891,19,2011,
309,,sergioING,1915,19,1977,
310,,aladedios,2404,19,1951,
311,,Javier_Islas_Alvarez,1746,19,1929,
312,,Dramy89,1908,19,1887,
313,,zudaca,2097,19,1855,
314,,cucotechi,1445,19,1529,
315,,Joseangelvalle19,1301,19,1512,
316,,VictorGaming,1600,19,1504,
317,,Pedri28,1754,19,1491,
318,,X_Arreaga-2,1407,19,1482,
319,,ErickDG,1368,19,1435,
320,,Caballito_argento266,1356,19,1396,
321,,Ho1d,1321,19,1377,
322,,NolanAlejandroo17,1429,19,1362,
323,,peteman2006,1300,19,1331,
324,,jugoncillo2000,1325,19,1311,
325,,Camilo_rincon,905,19,1286,
326,,MirkoUribe,1038,19,1153,
327,,AlejandroAmador,2025,18,1879,
328,,FranG19,1692,18,1841,
329,,PeDrOVuElAmIlLaReNgO,1737,18,1817,
330,,Sancaf,1715,18,1763,
331,,GROOLO777,1671,18,1638,
332,,hlormer,1660,18,1631,
333,,Evachess39,1822,18,1591,
334,,latostadora,1516,18,1552,
335,,MrChaman7,1309,18,1541,
336,,DiegoSanchez15,1513,18,1537,
337,,juansaab,1507,18,1536,
338,,Bentrock,1604,18,1535,
339,,Tony301,1449,18,1529,
340,,XePepe11,1501,18,1525,
341,,fransan,1467,18,1521,
342,,E_GMartinez,1505,18,1499,
343,,DGA17,1655,18,1477,
344,,SirioAmado,1467,18,1465,
345,,orislaff,1629,18,1443,
346,,vicentemontesinosj,1409,18,1426,
347,,Zen-Fanter_002,1393,18,1419,
348,,GambitoPatch,1215,18,1417,
349,,Echigar,1684,18,1393,
