Rank,Title,Username,Rating,Score,Performance,Team
166,,Kenzo_36,1688,23,1749,
167,,Kalvo_Toni,1924,23,1734,
168,,mlffs1983,1887,23,1713,
169,,danlsk,1737,23,1645,
170,,X_CUEVA_DURAN_JAIRO,1420,23,1459,
171,,kasp0r0v,1434,23,1459,
172,,Samurapidchess,2210,22,2105,
173,,maestro99,2072,22,1874,
174,,ASESINADEREYES,1801,22,1833,
175,,Jesux01,1915,22,1825,
176,,Rodrigocatriel1999,1853,22,1810,
177,,Depredador8,1750,22,1798,
178,,Ian1509,1553,22,1786,
179,,aaroncalvo,1749,22,1772,
180,,guvar,1758,22,1756,
181,,alonsotaku,1607,22,1702,
182,,samuel343,1568,22,1692,
183,,Br1s,1488,22,1657,
184,,Angeldrez01,1523,22,1632,
185,,Albertoif99,1423,22,1613,
186,,Guitalla,1335,22,1603,
187,,Anibalbrc1967,1556,22,1565,
188,,santrip,1387,22,1561,
189,,DanielLiceaga96,1457,22,1533,
190,,ginesmh,1486,22,1498,
191,,AdidCSS,1554,22,1469,
192,,TavoZG95,1327,22,1441,
193,,TheUnequaledGoose,1421,22,1422,
194,,rubenkun15,1226,22,1371,
195,,leichlo,1575,22,1363,
196,,SantiagoReyesVzla,1864,21,2066,
197,,vladimiromontesinos,2016,21,2022,
198,FM,LuisFSiles,2365,21,2020,
199,,hlormer,1685,21,1933,
200,,Angel_03,2018,21,1903,
201,,carlitosceva12345,1873,21,1838,
202,,sergioING,2004,21,1805,
203,,Sancaf,1714,21,1772,
204,,U015,1636,21,1660,
205,,Shurchees,1885,21,1619,
206,,Alexandro97_2020,1883,21,1602,
207,,Ajedrezmeme474,1557,21,1559,
208,,Ernesto1016,1447,21,1483,
209,,flor_kuin,1606,21,1451,
210,,Bidblain,1495,21,1413,
211,,Ragehunter,2585,20,2213,
212,,Onmyo-za,2014,20,1999,
213,,el_duki,2080,20,1980,
214,,casher11,1835,20,1957,
215,,Spywox,1716,20,1774,
216,,AniquiladorDeMancos,1666,20,1693,
217,,FDAIMAN,1918,20,1691,
218,,Cucu77,1765,20,1663,
219,,LuisBoss,1393,20,1634,
220,,joyofdesiring,1195,20,1623,
221,,Pedri28,1683,20,1617,
222,,Amadeo9,1320,20,1561,
223,,Aulig,1415,20,1533,
224,,Ignacio009,1654,20,1532,
225,,bursalia2k,1471,20,1506,
226,,CesarVega,1504,20,1504,
227,,Axwell1450,1353,20,1441,
228,,maticalabro,1366,20,1438,
229,,carlosagurcia,1485,20,1437,
230,,maqui44,1368,20,1412,
231,,Diamantesco,2147,19,2068,
232,,MrVanHelsing,2100,19,2015,
233,,jh2001,1764,19,1920,
234,,ALEXISGS,1834,19,1826,
235,,OWNED5,1584,19,1715,
236,,LeugimPrograma,1643,19,1661,
237,,Jabibo015GG,1618,19,1636,
238,,ShyGuy1993,1703,19,1626,
239,,CesarNavarro1988,1521,19,1594,
240,,Gabo294,1507,19,1533,
241,,aaa_29292,1719,19,1506,
242,,over_whelming,1411,19,1467,
243,,WereUkain,1139,19,1466,
244,,JHDark,1306,19,1437,
245,,DarwinPanduro_unu,1751,19,1422,
246,,alldoce4,1431,19,1419,
247,,Fdocan,1337,19,1381,
248,,Beth_Harmon1212,1208,19,1317,
249,,FafeeM,1098,19,1264,
250,,AdrianDeLaCruz23,2000,18,1912,
251,,manuelgzma,1632,18,1882,
252,,santi_gar22,1423,18,1753,
253,,fransan,1510,18,1750,
254,,Franpixie,1973,18,1735,
255,,moteconhuesillo2006,2036,18,1664,
256,,IcemanPzk17,1473,18,1658,
257,,Vicen_Q,1709,18,1653,
258,,Edson211908,1447,18,1608,
259,,javiersanchez2020,1604,18,1599,
260,,Nahuel815,1557,18,1584,
261,,EloyBerty07,1659,18,1577,
262,,juanmatmw,1633,18,1515,
263,,Bepe_Durrieu12,1494,18,1498,
264,,nylsaG,1859,18,1452,
265,,HeinerYTR,1802,18,1446,
266,,jesussantfeliu,1655,18,1445,
267,,FedericoRM,1312,18,1329,
268,,Alex_Ramentol,1282,18,1222,
269,,ava_max_official,2122,17,2119,
270,,carlosgliemann,2026,17,2019,
271,,EJESUS,1737,17,1650,
272,,ZeniffFresero,1699,17,1647,
273,,penultimoError,1626,17,1600,
274,,Ronky987,1434,17,1552,
275,,insanedb,1460,17,1542,
276,,lucabona777,1845,17,1494,
277,,HermesD,1438,17,1442,
278,,Marcoslegui2,1597,17,1422,
279,,jguaraz,1250,17,1356,
280,,Jotajota76,1468,17,1281,
281,,JuanefeSilva,1461,17,1244,
282,,MiguelKni,2409,16,2578,
283,,MatiasAjsNemocon,1708,16,2086,
284,,juanloj,1819,16,1857,
285,,jaime_ry,1525,16,1810,
286,,NiKHiLdHaLlA,1971,16,1792,
287,,OrtegaSergio,1744,16,1786,
288,,ElsaPato7,1723,16,1776,
289,,Salvatch,1652,16,1660,
290,,vicentemontesinosj,1464,16,1605,
291,,DGA17,1472,16,1593,
292,,soad30,1599,16,1582,
293,,conejorana96,1537,16,1520,
294,,chipotles1,1391,16,1471,
295,,Junior1228,1546,16,1464,
296,,Ciro_Bravo,1636,16,1459,
297,,Josif_a_La_Firme,1073,16,1448,
298,,Santistokfish,1542,16,1442,
299,,Nyarlatholep,1484,16,1433,
300,,PereiraSan,1350,16,1428,
301,,mario1242,1309,16,1392,
302,,Adri4nito,1404,16,1377,
303,,lambadelmastro,1461,16,1341,
304,,chesscan27,1374,16,1293,
305,,RUBO10,1118,16,1284,
306,,OzEmFM,1205,16,1265,
307,,guille_ggm_98,1197,16,1234,
308,,Nule7,1281,16,1198,
309,,GambitoPatch,1201,16,1177,
310,,Adrian_fl,1125,16,1149,
311,,LahienaConti,1012,16,1128,
312,,tatakaetatakae,1397,15,1668,
313,,Matt_Cortez123,1144,15,1404,
314,,YonathanZavala,1315,15,1327,
315,,Edwinbuapo,1204,15,1246,
316,,Lajarto,1942,14,2002,
317,,AlexanderSanti,1660,14,1865,
318,,Boca0descensos,1954,14,1813,
319,,Pol_LOMBARTE,1758,14,1798,
320,,SimGalax10,1961,14,1798,
321,,Sinue8888,1741,14,1723,
322,,PaulitaAjsNemocon,1298,14,1632,
323,,vdkaufmked,1537,14,1627,
324,,yvyryryi,1462,14,1611,
325,,FranSC96,1686,14,1601,
326,,ChessBelloo,1150,14,1542,
327,,Gerutzu,1428,14,1539,
328,,Arturo_Go,1511,14,1523,
329,,Mantek97,1432,14,1521,
330,,Sh4dow_Ra1der,1431,14,1480,
331,,JEUC-3010,1373,14,1472,
332,,Raul_Pocinho,1463,14,1437,
333,,vmb1976,1367,14,1417,
334,,soler555,1473,14,1413,
335,,m1gueL0rd,1449,14,1398,
336,,GuidoNadotti,1618,14,1394,
337,,pablal,1174,14,1357,
338,,ricsalinas,1176,14,1324,
339,,SherlockDupin7,1331,14,1279,
340,,STICKRAFTMAPPER,1097,14,1270,
341,,Sam_Buceto,1222,14,1247,
342,,brunodiaz23,1199,14,1228,
343,,BigFacu,1012,14,1207,
344,,brly,1126,14,1186,
345,,Joecali2018,1179,14,1170,
346,,Macorix,2054,13,2105,
347,,VILLAR_0715,2155,13,2011,
348,,polzito3,1751,13,1511,
349,,Javier_Loccisano,1656,13,1507,
350,,jeremy2210,1246,13,1454,
351,,FNR96,1454,13,1435,
352,,PARZIVAL4,1285,13,1407,
353,,franquitopai12367,1202,13,1284,
354,,soymingu,1349,13,1256,
355,,axelINaxel,1973,12,2139,
356,,CARLOSRAMIREZ_UCV,2148,12,2136,
357,,RafarovQuila,1565,12,2124,
358,,cuindichete,1852,12,2096,
359,,Geovanny64,1659,12,1709,
360,,janko10,1320,12,1642,
361,,GuidoVolkov,1587,12,1615,
362,,Darius29,1551,12,1567,
363,,supersayayin7,1379,12,1507,
364,,xavilleida15,1821,12,1507,
365,,kalabazoff,1629,12,1503,
366,,Gallo76,1490,12,1351,
367,,Arreola78,1236,12,1231,
368,,Adribenjaele,1004,12,1221,
369,,diegozg36,1052,12,1220,
370,,JosueLemus,1162,12,1217,
371,,Ricardo-Quito-3B,1178,12,1156,
372,,aluken,1116,12,1122,
373,,MANUESANDOJ_2005,2117,11,2099,
374,,mmv2012,1335,11,1716,
375,,chess12346,1687,11,1654,
376,,R_Millan,1610,11,1617,
377,,ALVARITO297,1718,11,1616,
378,,Reva5,1369,11,1518,
379,,papacabezon,1249,11,1515,
380,,leyenden,1465,11,1455,
381,,ataque1941,1796,11,1433,
382,,ferchokob,1372,11,1429,
383,,MystikalARG,1075,11,1390,
384,,JoaquinPeGe,1585,11,1371,
385,,Sebastiansanvi26,1318,11,1319,
386,,mtcplay95,1147,11,1140,
387,,Adolfoml7,1045,11,1022,
388,,Anl3o,1772,10,1911,
389,,masmedula,2103,10,1900,
390,,nose_XD,1552,10,1825,
391,,ORL18,1959,10,1797,
392,,PERALTI,1132,10,1737,
393,,joaquinleyva,1602,10,1727,
394,,jorgepuma2001,1735,10,1724,
395,,Tonilg10,1642,10,1718,
396,,sebastian2459,1685,10,1641,
397,,fernando13878,1613,10,1625,
398,,Ovejero,1557,10,1610,
399,,TheCattle,1354,10,1564,
400,,Hecnate,1563,10,1519,
401,,Juanpabl,1372,10,1468,
402,,luulooc,1634,10,1453,
403,,AaronCarlsen,1191,10,1420,
404,,asvillag666,1099,10,1412,
405,,Elias-Cuadrado5,1502,10,1391,
406,,DiegoSanchez15,1447,10,1390,
407,,ELCAMPERO14,1061,10,1385,
408,,agoviador,1458,10,1369,
409,,La_Porta_96,1354,10,1355,
410,,luis-ol_11,1175,10,1324,
411,,Arian_VT,1198,10,1275,
412,,Pjspike,1261,10,1219,
413,,santinomederqui,1462,10,1211,
414,,Blvckhorsex,1223,10,1203,
415,,GamedroidGD,1350,10,1120,
416,,MiguelAMR,1084,10,1119,
417,,samuelsaez,1142,10,1102,
418,,Supergriner,1090,10,1093,
419,,giovas14027,1180,10,1073,
420,,dennisduque,1219,10,1020,
421,,St1v3nt,1489,9,1604,
422,,Best_Chess_Player54,1611,9,1580,
423,,locolp81,1055,9,1355,
424,,chico1408,882,9,1119,
425,,polillin,1101,9,1114,
426,,AlbaMe,2075,8,2350,
427,,Thebigkiller,2061,8,2259,
428,,Victoria101105,1790,8,2007,
429,,sateliterebelde,1765,8,1945,
430,,silvio1975,1802,8,1915,
431,,soyalfinegro,2096,8,1903,
432,,fredd-afrack,2030,8,1878,
433,,aaaenzo,2016,8,1871,
434,,VictorGaming,1646,8,1865,
435,,NICOLASXD11777,1968,8,1850,
436,,Dimart18,1406,8,1759,
437,,SNHEIDER10,1798,8,1753,
438,,Gonzalozerinog,1964,8,1750,
439,,LilNore,1930,8,1705,
440,,DRGM1503,1448,8,1637,
441,,byuhardyboys,1467,8,1468,
442,,TheKiller_02,1660,8,1465,
443,,Miguel_Angel_92,1219,8,1430,
444,,Maria1alvarez2,1339,8,1428,
445,,Estir,1320,8,1418,
446,,ferdlf,1139,8,1387,
447,,Fa1th,1323,8,1384,
448,,Mp0409,1319,8,1358,
449,,Joseangelvalle19,1358,8,1343,
450,,Catacroc,1278,8,1317,
451,,vizzztor,1409,8,1279,
452,,Courbett,1245,8,1256,
453,,TomiZZZ147,1515,8,1252,
454,,TitiCheese,1181,8,1235,
455,,Pabloblanca9,780,8,1215,
456,,Martintube,1112,8,1206,
457,,gianelking314,1117,8,1206,
458,,juliovc,1195,8,1200,
459,,El-Mayck,1088,8,1183,
460,,tatet91,1290,8,1180,
461,,KARSEROS,1040,8,1107,
462,,SheenEstevez,1063,8,1097,
463,,Sofiode,1165,8,1076,
464,,Fernineitor,1015,8,1053,
465,,Vic126,808,8,1049,
466,,dritomath2,827,8,1009,
467,,teacherbaker,840,8,984,
468,,Andertxu,938,8,924,
469,,LearningScience,1812,7,2397,
470,,SantiKallpa123,2004,7,1884,
471,,iisturiz,1588,7,1632,
472,,Elexplicador,1240,7,1388,
473,,luiscarlos06ccc,1334,7,1293,
474,,farlopamoral,2341,6,2314,
475,,pablopxp,1985,6,1973,
476,,BabakoDrive5G,1552,6,1909,
477,,Fr4n-07,1398,6,1828,
478,,Mordedorleiva,1829,6,1736,
479,,horseaz,1707,6,1726,
480,,Ivack17,1338,6,1726,
481,,chessss2367lelo,1977,6,1692,
482,,SrMks,1518,6,1652,
483,,TtTtSCP,1572,6,1596,
484,,xChopy,1233,6,1460,
485,,Golondrino,1540,6,1458,
486,,NG1214,1126,6,1435,
487,,Jjor96,1407,6,1417,
488,,DamaClavada,1386,6,1413,
489,,JRosado7,1157,6,1390,
490,,Nicorejon,1726,6,1376,
491,,Juandaviolin,1425,6,1342,
492,,Alexvt19,1390,6,1338,
493,,A61371302ANDRE,1315,6,1305,
494,,ThecocineroC,1151,6,1263,
495,,bombanavarroo,1686,6,1241,
496,,JasonBatz,1867,6,1229,
497,,Mane_Guzman_9,1269,6,1213,
498,,Vadiaz,1285,6,1187,
499,,Dr_Vago,1129,6,1185,
500,,Oscarnui,1050,6,1081,
501,,larritxapelas,1082,6,1067,
502,,maisurtia,1015,6,1021,
503,,Nicocraft_Gamer,961,6,1018,
504,,MaxChappaz,1150,6,1017,
505,WFM,Caroltorres84,2087,5,2099,
506,,Cevichess,1638,5,1599,
507,,arizaca,1898,5,1582,
508,,q46x100tokK,1420,5,1489,
509,,F2004P,1540,5,1381,
510,,Arielexpediente,1161,5,1374,
511,,elmerio,1160,5,1323,
512,,joshua25xd,1073,5,1193,
513,,PERUSIEMPRE,2084,4,2463,
514,,Sp1derr1c0,1786,4,2263,
515,,Savoy_JP,2005,4,2157,
516,,kosciuk,1717,4,2068,
517,,franco2020,1996,4,1879,
518,,Amaya_Carlo_9999,1770,4,1792,
519,,urielj2,1464,4,1687,
520,,JAVIERALEGRIABLASCO,1645,4,1672,
521,,Eduardo011Ortiz,1506,4,1661,
522,,juanmolinas,1552,4,1637,
523,,pasmmo,1311,4,1632,
524,,ENRIQUE_ORT2007,1446,4,1624,
525,,Matias20064,1321,4,1564,
526,,alejosamy_yt,907,4,1536,
527,,DemetrioElGreco,815,4,1530,
528,,ErickDG,1367,4,1478,
529,,andresg9108,1531,4,1474,
530,,TkCorem,1492,4,1446,
531,,takethelant3rn,1396,4,1434,
532,,alucard1965,2059,4,1381,
533,,Val3m,1478,4,1372,
534,,Luis-Castillo-3B,1284,4,1342,
