Rank,Title,Username,Rating,Score,Performance,Team
167,CM,beto_betun,2219,17,2022,
168,,SpaskyMI,1789,17,1917,
169,,Gaussete,1808,17,1873,
170,,Wagnerxp,1671,17,1762,
171,,readyPlayerUan,1604,17,1603,
172,,GottDesFussgeruchs,1631,17,1542,
173,,Zoerttt,1600,17,1521,
174,,sopapiglobo1,1496,17,1516,
175,,escociaescoci,1497,17,1478,
176,,Elangelmasamado2020,1447,17,1369,
177,,dagg21,1232,17,1310,
178,,The_Bleessed,1969,16,1832,
179,,sieteacero,1385,16,1600,
180,,Fenrix83,1543,16,1559,
181,,jmchessb,1429,16,1505,
182,,vdkaufmked,1561,16,1469,
183,,ginesmh,1451,16,1440,
184,,FacuMarket,1416,16,1431,
185,,aaa_29292,1653,16,1397,
186,,JustValldo,1428,16,1387,
187,,Estir,1245,16,1327,
188,,htxr,1253,16,1326,
189,,ikergameplaysyt,1327,16,1319,
190,,OladPark65,1183,16,1310,
191,,luismarquez,1364,16,1291,
192,,Kuira_ba,1294,16,1258,
193,,nicolasmaksimow,1255,16,1225,
194,,GambitoPatch,1080,16,1216,
195,,Elsodus,1159,16,1213,
196,,xavilleida15,1913,15,1754,
197,,antitodozgz,1935,15,1726,
198,,W1nt3r0ne,1493,15,1420,
199,,tatet91,1347,15,1352,
200,,rafestev,1208,15,1287,
201,,Trapija,1367,15,1267,
202,,Abner987,1259,15,1251,
203,,aleconva,1031,15,1229,
204,,Marshallgomez,2088,14,1939,
205,,TheRPMplay,1368,14,1427,
206,,Rivergw,1355,14,1392,
207,,Tinatico72,1448,14,1381,
208,,hvpareja,1289,14,1300,
209,,manuel_abalos,1163,14,1241,
210,,BrayanA22mvp,1104,14,1186,
211,,Massaneta02,1166,14,1177,
212,,jtpc,1172,14,1175,
213,,Danielalonzop,1144,14,1168,
214,,rayzersch99,1072,14,1075,
215,,sigarritovasilon,1683,13,1709,
216,,PeperoPep,1421,13,1449,
217,,Juananca,1336,13,1401,
218,,sarcosaurus,1541,13,1391,
219,,Benjalvarez2102,1251,13,1230,
220,,JuanBonari,1746,12,1785,
221,,adrian_muruchi,2043,12,1748,
222,,Ncane90,1621,12,1614,
223,,IsaacMinaya,1354,12,1552,
224,,kosciuk,1705,12,1456,
225,,DylanV_7moA_Blue,1365,12,1412,
226,,Ruy_de_Rozas,1713,12,1393,
227,,ramonbeses,1277,12,1338,
228,,papacabezon,1173,12,1319,
229,,Larsen85,1232,12,1312,
230,,RedPawn314,1247,12,1237,
231,,Granadino8,1116,12,1131,
232,,aleces,937,12,945,
233,,Electric5,1674,11,1803,
234,,DiegoAguijon,1655,11,1707,
235,,veronicaVar2012,2221,10,1819,
236,,RNEVA11,1814,10,1678,
237,,Gramgus,1283,10,1654,
238,,JhomarL,1307,10,1524,
239,,U015,1472,10,1504,
240,,Alediosss,1411,10,1419,
241,,PawnKing99,1402,10,1366,
242,,brauliog,1574,10,1324,
243,,kevnyo,1249,10,1304,
244,,G0M4_07,1233,10,1288,
245,,Gabi0707,982,10,1179,
246,,vaperg21,1172,10,1169,
247,,mor1983,1146,10,1162,
248,,GasPanic,1063,10,995,
249,,juanmolinas,1618,9,1524,
250,,pr0lactina,1215,9,1361,
251,,Tomasyupi,1390,9,1254,
252,,WYNDERDEGO9,1605,8,1809,
253,,leandrojd,1951,8,1798,
254,,dartexhd,1574,8,1546,
255,,JesusAndroMtz,1408,8,1439,
256,,jaime_ry,1477,8,1429,
257,,santiagorbarnes,1586,8,1364,
258,,Aondor,1473,8,1340,
259,,ManelNavarro,1349,8,1293,
260,,illojavi,1343,8,1285,
261,,molinovI,1271,8,1255,
262,,MiguelAMR,1080,8,1110,
263,,Joaco33,1014,8,1107,
264,,AritzJau,1040,8,1094,
265,,Thiaagoo1,978,8,1031,
266,,Fran02,1174,8,1009,
267,,IkerWater,989,8,961,
268,,AlvaroSabo,879,8,891,
269,,kakakasparov,1985,7,1930,
270,,javiercc_GM,2178,7,1868,
271,,gerardts,2020,7,1786,
272,,eamigo,1622,7,1715,
273,,Pol_LOMBARTE,1711,7,1387,
274,,Jaime423,1360,7,1299,
275,,CallmeDeevid,1174,7,1171,
276,,TheViper111,1237,7,1108,
277,,hhugonzalez1992,1282,7,1098,
278,,Samu455,1088,7,1086,
279,,Cavy28,791,7,803,
280,,uriol_4689,1441,6,1456,
281,,Dark-Gamer,1272,6,1400,
282,,antonio_flores,1405,6,1352,
283,,familia_alfil,761,6,1304,
284,,alanhuesosgarcia,1210,6,1204,
285,,dmanzano,1005,6,1140,
286,,Boogiepopq,1114,6,1110,
287,,PeppaDiyei,1128,6,1019,
288,,diegopc69,1149,6,948,
289,,AJ_Faruzi,867,6,886,
290,,edl-15,1886,5,1585,
291,,davidg0601,713,5,865,
292,,ChessBelloo,975,5,817,
293,,Rampla,1764,4,2236,
294,,Carlos_Andres2021,1782,4,1893,
295,,Gil_Otreb82,1533,4,1614,
296,,Forzaorizon,1842,4,1614,
297,,Halan2005,1706,4,1603,
298,,dvorak435,1234,4,1522,
299,,invictushater,1004,4,1436,
300,,DanielHVedruna,1396,4,1337,
301,,erick_65,1309,4,1329,
302,,carlossh1206,1229,4,1289,
303,,DavidValverde,1181,4,1216,
304,,Caldecruck9,1401,4,1204,
305,,Roman-II,1900,4,1193,
306,,pantera3456,1257,4,1188,
307,,gastonto,933,4,1187,
308,,Adrysalvador10,1581,4,1142,
309,,Diego_O_V,1576,4,1138,
310,,roccolucci07,1010,4,1068,
311,,Keun_Yong,1086,4,1046,
312,,Zetaaa,921,4,949,
313,,sierrradoritoss,947,4,905,
314,,SrLarco,880,4,901,
315,,Burocratadelkaos,708,4,899,
316,,NarcisistAsocial,747,4,767,
317,,rafabonillo,1845,3,1621,
318,,hans123123,1598,3,1505,
319,,marcognzalz,1254,3,1331,
320,,JuanTorresG1106,1141,3,1180,
321,,Tomas_badia11,1036,3,958,
322,,armandoestrada,1395,2,1862,
323,,tsantiago32,1667,2,1859,
324,,Boca0descensos,1857,2,1816,
325,,Bernardino_Madera,1978,2,1807,
326,,diego_chess20,1475,2,1396,
327,,Pablo9,1929,2,1354,
328,,CALLUPE-24OBED,1312,2,1287,
329,,carcolostan,1512,2,1202,
330,,Abraham38474,1168,2,1190,
331,,JarribasDB,1110,2,1153,
332,,rfggtav,1393,2,1148,
333,,perujulioplayer,1014,2,1116,
334,,Tonidax,1282,2,1101,
335,,Le0n-Tr0tski,957,2,996,
336,,ivynnchess,1198,2,994,
337,,DannyPerez,1094,2,917,
338,,JTudon,887,2,909,
339,,Odst000,1037,2,829,
340,,byfacu23,1172,1,1257,
341,,Martintube,1000,1,1202,
342,,Strikerperruno,2373,0,,
343,,ElLobo23,2283,0,,
344,,Jes1009,2158,0,,
345,,RubinCarter,2106,0,,
346,,Ivankoflm18,2025,0,,
347,,Diego_Berserk,2021,0,,
348,,fernando333,2001,0,,
349,,martipro14,1951,0,,
350,,Rabineti,1929,0,,
351,,Nenku,1889,0,,
352,,keron48,1840,0,,
353,,rocksoff10,1829,0,,
354,,Ginoxs,1808,0,,
355,,benjadruetto,1803,0,,
356,,MevoyaDama,1801,0,,
357,,romadeluca,1780,0,,
358,,Firewwall,1777,0,,
359,,arturo333,2236,0,1734,
360,,MartiJorba,1723,0,,
361,,benitotomata,1678,0,,
362,,Davincii11,1676,0,,
363,,nachorda,1662,0,,
364,,SergioNevado,1659,0,,
365,,kevinc33,1644,0,,
366,,FernandoPacoH,2086,0,1630,
367,,bryanyahir03,1612,0,,
368,,AlejandroUwU,1609,0,,
369,,leo17ed,1605,0,,
370,,Licmallas,1569,0,,
371,,QuiquePettinari,1569,0,,
372,,carlosagurcia,1558,0,,
373,,dave_kzr,1542,0,,
374,,GuidoNadotti,1528,0,,
375,,gmremon,1506,0,,
376,,pablolopezalm,1500,0,,
377,,albertrotsky,1500,0,,
378,,DiegoCompany2408,1500,0,,
379,,zorek1,1500,0,,
380,,Dab_Leito,1500,0,,
